Customer,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
XC26395,High School or Below,7408,76771,95,1,Personal Auto,Two-Door Car,91,Oregon,M
HA72996,College,4349,75648,108,0,Corporate Auto,SUV,112,Nevada,F
WP51328,Doctor,4744,20698,68,5,Personal Auto,Two-Door Car,248,Oregon,M
CP47989,High School or Below,17208,29734,63,0,Corporate Auto,Two-Door Car,649,Oregon,F
JO75190,Bachelor,8673,43963,110,0,Corporate Auto,SUV,528,Nevada,M
AP47670,High School or Below,2497,29465,63,0,Personal Auto,Four-Door Car,302,California,M
BT61680,High School or Below,32069,24851,103,0,Personal Auto,SUV,604,Arizona,F
KX23022,Bachelor,3312,0,107,2,Corporate Auto,SUV,770,Arizona,M
KB20508,College,10828,11033,97,0,Special Auto,Two-Door Car,511,California,M
HU89665,College,12128,20495,61,0,Personal Auto,Four-Door Car,292,Oregon,F
HD12841,Master,5505,95766,68,0,Personal Auto,Four-Door Car,162,California,F
AR63478,College,6715,0,65,0,Corporate Auto,Four-Door Car,655,California,M
UP90711,Bachelor,2836,61029,72,0,Personal Auto,Two-Door Car,114,Oregon,F
EK58626,Bachelor,3561,0,105,0,Personal Auto,SUV,504,Oregon,M
CA14631,High School or Below,6552,56188,86,3,Special Auto,Four-Door Car,175,California,M
AU98438,Bachelor,2833,94812,70,0,Personal Auto,Four-Door Car,121,Arizona,F
RD96782,Bachelor,5099,0,70,1,Personal Auto,Two-Door Car,336,California,F
SY66568,College,9415,55338,116,0,Corporate Auto,Two-Door Car,556,Oregon,F
WE52979,High School or Below,3644,82477,90,0,Personal Auto,Two-Door Car,432,California,F
PL56477,College,2927,20852,73,0,Personal Auto,Two-Door Car,383,Oregon,F
XK20264,High School or Below,9227,0,82,0,Personal Auto,Two-Door Car,296,Washington,F
DV57698,Doctor,3148,0,83,0,Personal Auto,Two-Door Car,544,Oregon,F
RD53171,College,3063,0,95,2,Personal Auto,Two-Door Car,456,Arizona,F
PK23339,High School or Below,3417,72460,85,0,Personal Auto,Four-Door Car,370,Arizona,F
GA74551,Bachelor,23594,76358,66,0,Personal Auto,Four-Door Car,86,Oregon,M
BS26376,High School or Below,7519,96306,95,1,Corporate Auto,Four-Door Car,185,California,M
WW74234,College,3969,49544,101,0,Personal Auto,SUV,0,Arizona,F
UA26783,High School or Below,4874,0,68,0,Personal Auto,Two-Door Car,609,Oregon,M
DV38369,Bachelor,7261,0,101,0,Corporate Auto,SUV,727,California,M
ZM42260,College,8005,63357,101,0,Personal Auto,SUV,565,Arizona,M
EB34435,High School or Below,2996,0,82,0,Corporate Auto,Four-Door Car,590,Arizona,M
QY41527,Bachelor,4175,23060,109,3,Corporate Auto,SUV,731,Arizona,M
WG61503,Master,8491,27781,71,0,Corporate Auto,Four-Door Car,340,Arizona,M
TY59969,College,2402,43246,62,0,Personal Auto,Four-Door Car,52,Arizona,M
DO20853,High School or Below,4775,14254,124,0,Corporate Auto,SUV,595,Oregon,F
CD14267,College,4235,60334,106,0,Corporate Auto,Four-Door Car,111,Nevada,M
WL40338,Bachelor,5107,35625,65,1,Personal Auto,Four-Door Car,288,California,F
GV75215,Bachelor,13167,54684,111,3,Corporate Auto,Luxury,302,Oregon,F
CN91738,Bachelor,2520,56228,65,0,Personal Auto,Two-Door Car,276,Oregon,M
UR36951,Bachelor,5189,82166,134,3,Personal Auto,SUV,643,Oregon,M
JU87932,Bachelor,2893,30406,73,0,Personal Auto,Four-Door Car,350,Oregon,F
IR50609,Bachelor,3985,75007,101,0,Personal Auto,Four-Door Car,668,Arizona,M
VI18029,Bachelor,2414,79271,62,4,Personal Auto,Four-Door Car,232,Washington,M
CC46747,High School or Below,18688,0,76,0,Personal Auto,Four-Door Car,364,Arizona,F
ZK58906,Bachelor,16589,59414,140,0,Personal Auto,SUV,65,California,M
SQ70457,Bachelor,23331,44719,66,0,Personal Auto,Four-Door Car,316,Oregon,M
ZA37110,Bachelor,4699,0,129,2,Personal Auto,SUV,291,Nevada,F
HH23204,Doctor,2395,21986,63,0,Personal Auto,Two-Door Car,333,California,F
IE29890,High School or Below,8861,58480,113,1,Personal Auto,SUV,542,Oregon,F
VO25412,Master,8936,37520,74,0,Special Auto,Two-Door Car,163,Washington,F
ME37051,Bachelor,7340,50165,62,0,Personal Auto,Two-Door Car,129,California,M
DL17162,College,26453,42961,83,0,Personal Auto,Four-Door Car,398,Arizona,M
DD27563,High School or Below,6342,86687,80,0,Personal Auto,Four-Door Car,274,Oregon,M
IA27050,High School or Below,6560,0,93,0,Personal Auto,Four-Door Car,41,Oregon,F
UQ63751,Bachelor,6687,23772,83,0,Personal Auto,Four-Door Car,100,Arizona,F
MV26494,College,3681,0,98,0,Personal Auto,Four-Door Car,354,California,M
EN89709,Doctor,2555,18241,65,0,Personal Auto,Two-Door Car,151,Arizona,F
QN68814,Bachelor,2373,0,65,0,Corporate Auto,Two-Door Car,312,Oregon,M
NE70831,High School or Below,2732,86650,69,2,Personal Auto,Two-Door Car,323,California,F
FV72595,Bachelor,4703,0,137,0,Personal Auto,SUV,1554,Arizona,M
VZ81004,Master,19259,35973,159,0,Personal Auto,Luxury,763,Oregon,F
VM89271,High School or Below,3844,26262,97,0,Personal Auto,Four-Door Car,465,Arizona,M
CL97519,College,4683,25187,121,0,Personal Auto,SUV,580,California,M
RN71166,High School or Below,5174,88081,64,0,Personal Auto,Four-Door Car,82,Oregon,F
PJ86059,High School or Below,2655,83460,66,0,Corporate Auto,Four-Door Car,443,Oregon,F
BP34620,Bachelor,5615,19949,74,1,Corporate Auto,Four-Door Car,355,California,F
HI58196,College,3161,0,92,0,Personal Auto,Two-Door Car,897,Oregon,M
OZ58610,High School or Below,7575,0,109,0,Personal Auto,SUV,784,Arizona,M
WC34456,Bachelor,3985,77739,98,0,Personal Auto,Four-Door Car,428,California,F
FC15606,College,9706,23649,122,0,Personal Auto,SUV,535,Oregon,F
UM99946,College,7736,68980,98,0,Personal Auto,Four-Door Car,464,Arizona,M
JG94795,Master,4179,60010,103,0,Special Auto,Four-Door Car,494,Oregon,F
GD93408,Bachelor,5759,30968,74,1,Corporate Auto,Two-Door Car,45,California,F
QO12561,High School or Below,4165,0,116,0,Personal Auto,Four-Door Car,556,California,M
VI12822,High School or Below,2632,99841,65,0,Personal Auto,Four-Door Car,312,Washington,F
CT84535,College,3885,0,105,0,Personal Auto,Four-Door Car,504,California,M
NT36519,College,8161,32967,105,1,Personal Auto,SUV,504,California,M
WT86597,Master,13024,0,125,0,Personal Auto,SUV,900,Oregon,M
ZJ27465,College,14137,31794,119,0,Personal Auto,SUV,571,California,F
QF75939,High School or Below,3700,36710,94,0,Personal Auto,Four-Door Car,676,Washington,F
MC73302,Bachelor,5511,36267,69,0,Personal Auto,Four-Door Car,263,Oregon,F
WE21182,High School or Below,5169,12430,73,0,Personal Auto,Four-Door Car,350,Oregon,M
TD90906,High School or Below,6044,93715,74,0,Personal Auto,Four-Door Car,532,Oregon,F
WB66665,College,4349,75648,108,0,Corporate Auto,SUV,112,Nevada,F
ZP26168,College,9688,24584,66,0,Corporate Auto,Four-Door Car,279,Washington,F
ZG56744,Bachelor,5528,36088,72,0,Personal Auto,Four-Door Car,345,California,M
BO81145,Bachelor,7894,21723,104,0,Personal Auto,SUV,748,Arizona,M
BQ28323,High School or Below,5935,63833,73,0,Personal Auto,Four-Door Car,199,Oregon,F
WD38315,College,4520,0,61,0,Personal Auto,Four-Door Car,304,California,M
IS73434,Bachelor,3219,45892,81,0,Corporate Auto,Four-Door Car,388,Arizona,F
VO94890,College,5935,90263,74,0,Personal Auto,Two-Door Car,355,Oregon,M
ZH43085,High School or Below,2322,0,63,0,Corporate Auto,Four-Door Car,453,Washington,M
HQ10502,Bachelor,11692,40548,98,0,Personal Auto,Four-Door Car,470,Oregon,M
SP46702,College,10175,0,99,0,Corporate Auto,Two-Door Car,831,Oregon,M
JB60515,High School or Below,2513,50450,63,0,Personal Auto,Four-Door Car,302,Washington,M
TK49887,College,2897,0,85,0,Personal Auto,Two-Door Car,612,California,F
EG16813,College,5515,75963,69,0,Corporate Auto,Two-Door Car,102,Arizona,F
SI13406,High School or Below,3469,32714,87,0,Personal Auto,Four-Door Car,513,Arizona,F
WC11272,Bachelor,6907,42790,87,0,Personal Auto,Two-Door Car,290,Oregon,F
TU27563,Bachelor,3647,20694,94,1,Personal Auto,Two-Door Car,451,Oregon,F
IL72707,Bachelor,3265,25820,82,0,Personal Auto,Four-Door Car,393,California,F
DZ62350,High School or Below,2514,24744,65,0,Personal Auto,Four-Door Car,312,California,M
VV82891,Bachelor,4462,0,73,3,Personal Auto,Two-Door Car,350,Washington,F
UQ41461,Bachelor,4570,27538,63,4,Personal Auto,Four-Door Car,285,Washington,F
NI58226,High School or Below,2752,81280,68,0,Personal Auto,Four-Door Car,308,Oregon,F
VA78645,College,2188,0,67,1,Personal Auto,Four-Door Car,321,California,M
UY61301,Bachelor,2710,0,73,0,Personal Auto,Four-Door Car,350,Nevada,M
XC25965,Bachelor,14754,26486,128,1,Personal Auto,SUV,614,Washington,F
EB93628,High School or Below,10759,0,97,0,Personal Auto,Two-Door Car,465,Oregon,F
PK35830,Bachelor,12357,0,182,0,Personal Auto,Luxury,1953,Oregon,M
KY98596,Bachelor,5033,68331,63,0,Personal Auto,Four-Door Car,302,Arizona,M
CI19819,High School or Below,2370,0,71,1,Personal Auto,Two-Door Car,511,Arizona,M
TN82637,College,11236,21636,64,5,Personal Auto,Two-Door Car,213,Nevada,M
FA90739,High School or Below,12476,0,121,0,Corporate Auto,SUV,871,Oregon,M
FD62224,College,14641,0,133,0,Personal Auto,SUV,1386,Oregon,F
KE45653,Bachelor,4731,0,64,0,Personal Auto,Four-Door Car,307,California,F
FC10193,College,10620,35601,69,0,Personal Auto,Four-Door Car,249,Washington,F
DO48835,High School or Below,13478,0,198,1,Corporate Auto,Luxury,1425,Oregon,M
VK44934,College,8873,28558,119,4,Personal Auto,SUV,797,California,M
XB89264,High School or Below,5260,60101,66,0,Corporate Auto,Two-Door Car,1,Nevada,F
XL49151,College,2792,22426,76,1,Corporate Auto,Four-Door Car,528,Arizona,M
FG42635,College,10018,30720,139,4,Personal Auto,SUV,778,Oregon,M
FE12805,Bachelor,7180,34161,186,3,Personal Auto,SUV,892,Oregon,F
GT17701,Bachelor,3012,42987,77,0,Personal Auto,Four-Door Car,128,Oregon,F
CH76379,Bachelor,4236,0,61,0,Personal Auto,Four-Door Car,292,Oregon,M
QT77453,High School or Below,5283,80928,132,0,Corporate Auto,SUV,538,Arizona,F
BS90503,Bachelor,5395,86640,67,0,Personal Auto,Four-Door Car,65,Washington,F
MX93376,College,6913,26714,64,1,Personal Auto,Two-Door Car,307,California,F
KT54608,Bachelor,2619,78618,66,0,Corporate Auto,Two-Door Car,225,Arizona,M
CY18875,High School or Below,8390,0,78,0,Personal Auto,Four-Door Car,732,Oregon,F
YT74573,College,13727,0,126,0,Personal Auto,SUV,604,California,M
WL46640,College,4482,62977,115,0,Corporate Auto,SUV,552,Nevada,M
CY49953,College,2827,0,79,0,Special Auto,Four-Door Car,568,Oregon,F
FD72269,High School or Below,5584,19724,72,0,Personal Auto,Four-Door Car,345,California,F
RE29039,High School or Below,7568,27558,65,0,Personal Auto,Four-Door Car,312,California,F
TA35356,College,9664,86054,239,0,Personal Auto,Luxury,115,California,F
HS88081,High School or Below,6480,42846,81,0,Corporate Auto,Four-Door Car,286,California,F
SM52948,Bachelor,8707,57107,110,3,Personal Auto,SUV,528,Nevada,F
ZL30083,High School or Below,9048,0,119,0,Personal Auto,Luxury,571,Oregon,M
MP22051,College,2615,54314,66,0,Personal Auto,Four-Door Car,282,Washington,M
OF38237,Doctor,4878,29950,61,0,Personal Auto,Two-Door Car,292,California,F
KL27677,College,10793,24195,90,0,Personal Auto,Two-Door Car,360,Nevada,F
NX58648,High School or Below,5528,0,73,0,Personal Auto,Four-Door Car,388,Oregon,F
WP19664,College,4605,47481,116,0,Personal Auto,SUV,556,Arizona,M
LB83807,Bachelor,8343,63354,106,0,Personal Auto,Two-Door Car,508,Oregon,M
EL44544,High School or Below,13009,57591,66,0,Corporate Auto,Four-Door Car,316,Oregon,F
ST99840,Bachelor,7486,0,71,0,Corporate Auto,Four-Door Car,340,Nevada,F
ZS15062,Master,9547,34919,82,1,Personal Auto,Four-Door Car,277,Oregon,M
RJ68578,High School or Below,8110,76879,101,0,Corporate Auto,Luxury,487,Oregon,M
AE74442,Bachelor,7379,61584,61,0,Corporate Auto,Four-Door Car,205,California,F
TF80571,High School or Below,6612,28792,185,3,Corporate Auto,Luxury,1166,California,M
YH31618,Bachelor,7452,0,105,0,Corporate Auto,Two-Door Car,504,Oregon,F
HZ39407,Master,2686,26713,71,0,Personal Auto,Four-Door Car,142,Washington,M
GX38439,College,4470,0,129,0,Personal Auto,SUV,928,California,F
FF65294,High School or Below,10348,34244,87,2,Personal Auto,Four-Door Car,417,Oregon,M
GC40999,College,11790,25251,66,0,Personal Auto,Four-Door Car,316,Oregon,M
BA87048,Bachelor,4566,0,68,0,Personal Auto,Four-Door Car,326,Washington,M
DE23903,Bachelor,5905,59848,73,1,Personal Auto,Two-Door Car,131,Oregon,F
UP30859,College,7492,39815,64,0,Special Auto,Four-Door Car,91,Nevada,F
PY17715,Master,3427,58840,86,0,Corporate Auto,Two-Door Car,73,California,F
NU22358,Master,5181,97131,64,0,Special Auto,Four-Door Car,307,Washington,F
BR77413,College,4686,58089,118,0,Personal Auto,SUV,566,Arizona,M
FI17798,Doctor,2710,0,71,0,Personal Auto,Four-Door Car,340,California,M
KN32615,College,4313,0,126,2,Personal Auto,SUV,656,Arizona,F
EB86696,Bachelor,4755,21808,119,0,Special Auto,SUV,571,California,M
YB14965,College,36516,89771,114,0,Personal Auto,SUV,432,Arizona,M
ZD42550,Master,7792,36776,65,0,Corporate Auto,Four-Door Car,240,Nevada,F
FI61655,Bachelor,2549,31213,65,0,Corporate Auto,Four-Door Car,312,Arizona,M
PC30692,Bachelor,7521,0,115,0,Personal Auto,SUV,987,Oregon,M
EK71077,Bachelor,11510,0,61,0,Corporate Auto,Four-Door Car,439,California,F
ED91989,College,7999,0,107,0,Personal Auto,SUV,513,Arizona,M
JH58573,College,7927,32555,68,0,Personal Auto,Two-Door Car,86,California,M
YP75411,College,21123,0,69,0,Personal Auto,Two-Door Car,496,Arizona,M
FV33188,Bachelor,2453,29735,69,0,Personal Auto,Four-Door Car,331,Washington,M
ZQ94561,College,2981,80590,74,0,Corporate Auto,Four-Door Car,97,Washington,M
JZ16164,Bachelor,5110,22565,132,0,Personal Auto,SUV,633,Oregon,F
MU63232,Master,5351,54817,137,0,Personal Auto,SUV,209,Arizona,M
CG13512,College,9015,0,62,0,Personal Auto,Two-Door Car,42,Oregon,M
ZR86524,College,5903,55393,74,1,Corporate Auto,Four-Door Car,2,Oregon,F
UG38549,High School or Below,8852,0,83,0,Personal Auto,Four-Door Car,597,California,F
HJ37943,Bachelor,13333,75634,110,0,Personal Auto,Two-Door Car,432,California,F
QA72881,College,8658,62464,109,0,Personal Auto,Luxury,400,Oregon,M
BL54814,College,4871,72648,61,0,Personal Auto,Four-Door Car,120,Arizona,M
MG72449,Bachelor,5279,77167,66,0,Personal Auto,Four-Door Car,137,Nevada,F
VR66049,High School or Below,6689,56980,84,0,Corporate Auto,Two-Door Car,599,Washington,M
KC17606,College,5244,27444,66,0,Personal Auto,Four-Door Car,313,California,F
LB12820,High School or Below,6688,57289,86,0,Corporate Auto,Two-Door Car,562,Oregon,M
ZH30674,Bachelor,8408,84091,105,0,Personal Auto,Four-Door Car,380,Oregon,M
HX96638,College,2052,0,67,2,Personal Auto,Four-Door Car,806,Arizona,M
TT20057,College,10592,59590,136,0,Personal Auto,SUV,460,Oregon,M
AM26598,College,2913,89672,72,0,Personal Auto,Four-Door Car,309,Arizona,F
AY73718,Bachelor,5243,96535,66,0,Personal Auto,Four-Door Car,271,California,F
EL11108,Doctor,14191,25575,117,0,Personal Auto,SUV,561,Oregon,F
FA15811,College,9426,38910,78,0,Personal Auto,Two-Door Car,20,Nevada,F
BA51898,Bachelor,4521,39426,114,0,Special Auto,SUV,412,Arizona,M
PP30874,High School or Below,3579,28304,91,2,Personal Auto,Four-Door Car,655,California,F
MN74944,College,6285,52210,80,0,Personal Auto,Four-Door Car,384,Arizona,M
FK94501,Bachelor,7844,0,102,0,Personal Auto,SUV,273,Nevada,F
HZ84382,Master,8283,94851,104,0,Personal Auto,Four-Door Car,190,Oregon,M
FA89548,Bachelor,2436,0,67,0,Personal Auto,Four-Door Car,399,Arizona,M
GD29440,Bachelor,2538,18608,71,0,Personal Auto,Four-Door Car,340,Washington,M
DE21910,College,7304,41025,92,0,Personal Auto,Four-Door Car,20,Oregon,F
CH50584,High School or Below,32474,71449,102,0,Personal Auto,SUV,734,Oregon,M
JV97593,Bachelor,6674,92653,83,1,Personal Auto,Four-Door Car,456,California,F
ND68993,Bachelor,33473,33190,106,0,Personal Auto,SUV,508,Nevada,F
YT46746,College,6459,24290,82,0,Personal Auto,Four-Door Car,393,Oregon,F
RF94484,College,4605,22571,63,0,Corporate Auto,Four-Door Car,302,Oregon,F
No19664,High School or Below,5686,26409,71,0,Personal Auto,Four-Door Car,475,California,F
BA97018,High School or Below,6608,21616,93,0,Personal Auto,Two-Door Car,944,Arizona,M
HY16703,College,7158,36463,92,0,Personal Auto,Four-Door Car,441,Oregon,M
MA15172,Bachelor,10179,14290,271,0,Personal Auto,Luxury,1300,California,F
WO81184,Bachelor,5052,34645,69,3,Special Auto,Two-Door Car,220,California,M
FX39582,Bachelor,5201,67001,131,0,Personal Auto,SUV,463,Washington,M
ZG23976,Bachelor,8632,96200,107,0,Personal Auto,Two-Door Car,513,California,F
WE25756,High School or Below,7350,69241,93,0,Personal Auto,Four-Door Car,111,Arizona,M
AP59947,Bachelor,7690,55843,64,0,Corporate Auto,Two-Door Car,307,California,F
JG31799,Bachelor,8259,20305,76,1,Personal Auto,Two-Door Car,496,California,F
XY28151,Bachelor,2317,0,68,0,Corporate Auto,Two-Door Car,489,Oregon,F
ZB72138,Bachelor,8929,44329,112,0,Personal Auto,SUV,537,Oregon,M
OP52966,High School or Below,4854,44279,61,0,Personal Auto,Two-Door Car,292,Arizona,M
TG67664,College,2659,0,87,3,Personal Auto,Four-Door Car,420,California,F
DH14632,College,8750,34695,113,0,Personal Auto,SUV,100,Oregon,F
QN26812,High School or Below,5054,79297,64,0,Personal Auto,Four-Door Car,72,Arizona,M
PD97837,Bachelor,2199,0,62,0,Corporate Auto,Four-Door Car,297,Arizona,M
LX67597,Bachelor,5715,84183,72,0,Personal Auto,Four-Door Car,255,Nevada,M
VH35998,Doctor,9566,53375,79,0,Personal Auto,Four-Door Car,127,California,M
UE54045,High School or Below,10094,32046,127,0,Corporate Auto,SUV,475,California,F
XA50997,High School or Below,5444,91393,67,0,Personal Auto,Two-Door Car,460,Nevada,M
GM37281,Bachelor,2582,76731,64,0,Personal Auto,Four-Door Car,201,California,F
QT84069,Master,50568,82081,249,0,Personal Auto,Luxury,753,Oregon,M
MG74662,High School or Below,3484,51337,88,0,Corporate Auto,Four-Door Car,72,Oregon,F
EP46328,Bachelor,5555,74015,72,0,Personal Auto,Four-Door Car,471,California,M
UL87052,Bachelor,4173,0,117,0,Personal Auto,SUV,842,Arizona,F
GA93544,High School or Below,2897,0,77,0,Personal Auto,Four-Door Car,554,Oregon,F
EW73206,Bachelor,8044,68849,67,0,Corporate Auto,Two-Door Car,252,California,F
MV19629,College,7716,37376,99,0,Personal Auto,Four-Door Car,65,Oregon,F
TK67721,High School or Below,2274,0,64,0,Corporate Auto,Four-Door Car,621,Oregon,F
AD38685,College,8658,62464,109,0,Personal Auto,Luxury,400,California,M
LX72964,High School or Below,11260,88304,95,0,Personal Auto,Four-Door Car,276,Arizona,F
MR37609,College,16414,0,112,0,Special Auto,SUV,682,Oregon,M
OG30514,Bachelor,20018,65900,62,0,Personal Auto,Four-Door Car,297,Nevada,F
GJ44951,Bachelor,4698,0,67,0,Personal Auto,Two-Door Car,321,Washington,F
YB19340,High School or Below,9002,61374,113,0,Corporate Auto,Two-Door Car,210,Oregon,M
BD42101,Bachelor,25030,0,110,1,Corporate Auto,SUV,528,California,M
RZ89024,Doctor,3102,31841,78,0,Personal Auto,Four-Door Car,126,Oregon,M
ZO20633,High School or Below,2587,27861,65,0,Corporate Auto,Four-Door Car,312,Oregon,F
KL39500,College,4983,0,83,3,Personal Auto,Four-Door Car,736,Arizona,M
QK24293,Doctor,6265,0,84,1,Corporate Auto,Four-Door Car,481,Oregon,F
RW71963,High School or Below,7233,94550,90,0,Personal Auto,Four-Door Car,432,Nevada,F
HR71115,College,5357,39604,68,0,Personal Auto,Four-Door Car,63,Nevada,M
UL55837,Bachelor,11130,42928,93,0,Personal Auto,Four-Door Car,651,Nevada,F
IW77519,Bachelor,2610,54737,66,0,Personal Auto,Four-Door Car,391,Washington,F
CR88883,College,7452,0,68,0,Corporate Auto,Two-Door Car,489,Arizona,M
YD58301,High School or Below,6352,80587,78,0,Personal Auto,Four-Door Car,276,California,F
RT60959,High School or Below,14585,0,194,0,Corporate Auto,Luxury,931,Oregon,F
KC67832,College,17292,80028,86,0,Corporate Auto,Four-Door Car,114,California,M
DK92014,High School or Below,4254,11904,61,2,Personal Auto,Two-Door Car,292,Arizona,F
ZA44520,High School or Below,9621,54872,121,0,Personal Auto,SUV,580,Arizona,F
AJ69060,College,14260,0,99,0,Personal Auto,Two-Door Car,204,California,M
ME35315,College,7756,0,74,0,Corporate Auto,Two-Door Car,532,Washington,M
BU61331,College,5875,46417,74,0,Corporate Auto,Four-Door Car,164,Arizona,M
XI68015,College,4946,46239,67,3,Personal Auto,Four-Door Car,6,Washington,F
HG51739,College,2660,0,73,0,Personal Auto,Four-Door Car,350,Oregon,F
FI22970,High School or Below,2372,25550,61,0,Personal Auto,Four-Door Car,439,Oregon,F
OF93412,Bachelor,15613,27514,197,0,Personal Auto,SUV,1367,Nevada,F
AH97088,High School or Below,7803,84417,98,0,Personal Auto,Two-Door Car,139,Nevada,M
BI81476,High School or Below,10346,55906,86,0,Personal Auto,Four-Door Car,58,Oregon,F
IA18854,High School or Below,4960,21638,65,0,Personal Auto,Four-Door Car,468,California,M
OO62338,Bachelor,7099,16121,65,2,Corporate Auto,Four-Door Car,312,Oregon,M
JH35547,College,24442,36261,68,0,Personal Auto,Four-Door Car,16,Oregon,M
DY34638,High School or Below,13466,11432,119,0,Personal Auto,SUV,571,Oregon,F
MT16688,Bachelor,2598,62566,65,1,Corporate Auto,Four-Door Car,48,Arizona,F
NN51066,High School or Below,2886,10312,78,0,Personal Auto,Four-Door Car,486,Oregon,F
YF73402,High School or Below,2566,67778,64,1,Personal Auto,Four-Door Car,171,Oregon,M
ZR56751,Master,6252,92895,77,0,Personal Auto,Two-Door Car,43,Washington,F
GR32910,College,5174,55290,65,0,Personal Auto,Four-Door Car,13,California,F
MZ89625,Bachelor,9263,23377,116,0,Personal Auto,Four-Door Car,556,California,F
IK51081,College,4834,38713,66,4,Personal Auto,Four-Door Car,316,California,F
VI34110,Bachelor,2361,0,66,1,Personal Auto,Four-Door Car,145,Arizona,F
VH62312,College,2674,56342,69,0,Corporate Auto,Four-Door Car,331,Nevada,M
YU39743,College,16159,29593,137,0,Personal Auto,Luxury,657,Oregon,M
RO57944,High School or Below,26197,18495,113,0,Personal Auto,SUV,542,Nevada,F
VL32622,High School or Below,2664,82887,66,1,Corporate Auto,Four-Door Car,420,California,F
NV35796,Master,15162,71366,94,0,Personal Auto,Four-Door Car,265,Oregon,F
UU32345,College,22332,49078,97,0,Corporate Auto,Four-Door Car,484,California,M
YM94448,College,4995,10787,71,0,Personal Auto,Two-Door Car,697,Arizona,F
WX46704,High School or Below,16109,0,73,0,Personal Auto,Four-Door Car,350,California,F
HY35960,High School or Below,4957,10194,65,0,Personal Auto,Two-Door Car,312,Arizona,M
PB41497,High School or Below,2866,81763,72,1,Personal Auto,Two-Door Car,518,Oregon,M
GP37412,College,8719,59763,73,0,Personal Auto,Two-Door Car,350,Arizona,F
KU62853,College,22448,0,78,0,Special Auto,Four-Door Car,561,California,F
EA87824,College,6864,96832,85,0,Personal Auto,Two-Door Car,408,Arizona,F
DM42912,College,4980,21135,130,0,Personal Auto,SUV,678,California,F
HK50871,High School or Below,2312,16143,62,1,Personal Auto,Four-Door Car,32,California,M
ZX73673,Bachelor,5555,74015,72,0,Personal Auto,Four-Door Car,471,Arizona,M
EO95783,High School or Below,26763,84178,74,0,Personal Auto,Two-Door Car,12,Arizona,M
TR18791,Bachelor,2471,0,70,0,Personal Auto,Two-Door Car,504,Arizona,M
DC83427,High School or Below,17759,0,63,0,Personal Auto,Four-Door Car,661,Oregon,F
OG31942,College,14628,63936,189,0,Personal Auto,Luxury,765,California,M
AK17025,Bachelor,5801,0,83,0,Personal Auto,Four-Door Car,597,Washington,M
RT17851,High School or Below,5209,37940,129,0,Special Auto,SUV,512,Oregon,F
UF56271,High School or Below,2814,30703,70,0,Personal Auto,Four-Door Car,336,Washington,F
BP25150,College,5417,54898,69,0,Corporate Auto,Two-Door Car,176,Arizona,F
XT34986,Bachelor,16775,89030,139,0,Personal Auto,SUV,49,Oregon,M
OI74902,College,7980,15630,115,1,Personal Auto,SUV,656,California,F
GV33313,Bachelor,5107,35625,65,1,Personal Auto,Four-Door Car,288,Arizona,F
WA54110,High School or Below,2690,48329,67,0,Corporate Auto,Four-Door Car,470,Nevada,M
IS94199,High School or Below,4254,11904,61,2,Personal Auto,Two-Door Car,292,California,F
XE22944,Bachelor,4643,12261,125,0,Personal Auto,SUV,600,Arizona,F
CK24264,High School or Below,6217,0,86,0,Personal Auto,Four-Door Car,39,Arizona,M
BF54215,Master,11373,87810,94,3,Personal Auto,Four-Door Car,225,California,F
HW85007,Bachelor,10861,64744,139,0,Personal Auto,SUV,41,Oregon,M
PA56702,Doctor,8569,0,117,0,Personal Auto,SUV,957,Arizona,M
VD87432,Bachelor,16069,60735,135,0,Personal Auto,SUV,571,Washington,M
GG57214,Bachelor,2410,0,67,0,Personal Auto,Two-Door Car,482,Washington,F
EK10022,Bachelor,14057,36261,118,0,Corporate Auto,SUV,1197,California,M
IV97881,High School or Below,4872,0,135,0,Personal Auto,Luxury,648,Nevada,M
GS85403,Master,9031,0,122,0,Corporate Auto,Luxury,650,Washington,F
UO48558,High School or Below,2993,23277,77,2,Corporate Auto,Four-Door Car,369,California,M
SX18141,High School or Below,5846,50320,73,0,Personal Auto,Four-Door Car,297,Arizona,F
KK26955,High School or Below,2589,49675,65,0,Personal Auto,Two-Door Car,312,Washington,F
PV12088,High School or Below,6558,19508,61,0,Personal Auto,Two-Door Car,292,Arizona,M
TV97612,Bachelor,8105,20815,110,0,Personal Auto,SUV,528,Oregon,M
VA95387,High School or Below,7232,46621,61,0,Corporate Auto,Four-Door Car,30,Nevada,M
XF93358,High School or Below,13599,22775,184,0,Personal Auto,Luxury,883,Arizona,F
WP64059,Bachelor,5093,91814,63,0,Personal Auto,Two-Door Car,167,California,F
YY63521,College,6047,20396,76,1,Personal Auto,Four-Door Car,364,Arizona,M
FH69597,High School or Below,7172,73836,182,3,Personal Auto,Luxury,553,California,F
UT76436,Bachelor,3438,55910,86,0,Personal Auto,Four-Door Car,324,Nevada,F
VA94160,High School or Below,5418,43054,68,0,Personal Auto,Four-Door Car,326,California,F
NJ55678,Bachelor,7824,64543,65,0,Personal Auto,Four-Door Car,200,Arizona,F
OJ60800,Bachelor,7930,75988,67,0,Personal Auto,Four-Door Car,200,Oregon,M
PG20605,College,9321,0,64,0,Personal Auto,Four-Door Car,572,Arizona,M
